job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier
AIJOB1516,Machine Learning Engineer,Machine Learning,Entry-Level,2.3,Associate's,79900,68800,85600,Frankfurt,Germany,Fully Remote,Startup (1-50),E-commerce,Airflow|BERT|GCP|Git|Kubernetes|LangChain|Python|RAG|REST APIs,,,,,2026,2,0,1,0,Tier 1 (<80k)
AIJOB1517,Generative AI Engineer,AI Engineering,Senior,6.6,Associate's,139100,122200,162600,Osaka,Japan,Fully Remote,Startup (1-50),Manufacturing,Airflow|AutoGen|Python|REST APIs|SQL,,,,,2025,8,1,1,1,Tier 2 (80k-140k)
AIJOB1518,AI Product Manager,Product,Entry-Level,0.7,Master's,65600,60400,77600,Frankfurt,Germany,Fully Remote,Big Tech (FAANG+),Automotive,Airflow|Azure|C++|GPT-4|LangChain|Llama|RAG|REST APIs|TensorFlow|Vector Databases,,,,,2026,1,0,1,1,Tier 1 (<80k)
AIJOB1519,AI Product Manager,Product,Mid-Level,3.7,Master's,105800,93400,125100,Tokyo,Japan,Hybrid,Mid-Market (51-500),Technology & SaaS,Airflow|C++|CUDA|GPT-4|Kubernetes|Llama|REST APIs,26.1,95.5,37.5,8.3,2026,2,0,1,1,Tier 2 (80k-140k)
AIJOB1520,MLOps Engineer,Machine Learning,Mid-Level,3.7,Master's,108100,96600,122200,Hangzhou,China,Fully Remote,Enterprise (501-5000),Automotive,AWS|Airflow|GPT-4|LangChain|RAG|REST APIs|Vector Databases,31.2,79.5,22.4,6.3,2026,2,0,1,1,Tier 2 (80k-140k)
AIJOB1521,AI Agent Developer,AI Engineering,Mid-Level,4,Bachelor's,147700,134600,174600,Singapore,Singapore,Hybrid,Mid-Market (51-500),Automotive,Airflow|BERT|CUDA|GPT-4|REST APIs|Spark|TensorFlow,28.3,81.3,15.8,8.4,2026,1,0,1,1,Tier 3 (140k-200k)
AIJOB1522,Data Scientist,Data Science,Mid-Level,2.9,Bachelor's,123000,110500,136400,London,United Kingdom,Hybrid,Big Tech (FAANG+),Technology & SaaS,Azure|BERT|GCP|Kubernetes|REST APIs|TensorFlow,21.2,91.8,43.7,10,2026,9,0,1,0,Tier 2 (80k-140k)
AIJOB1523,NLP Engineer,Natural Language Processing,Mid-Level,3.7,Bachelor's,115100,98300,130800,Frankfurt,Germany,Fully Remote,Enterprise (501-5000),Education,AWS|C++|CUDA|PyTorch|Python|SQL|Scikit-Learn|Spark|TensorFlow|Vector Databases,29.4,99,24.2,6.3,2025,3,0,1,1,Tier 2 (80k-140k)
AIJOB1524,Generative AI Engineer,AI Engineering,Mid-Level,3.7,Master's,119700,109900,135500,Frankfurt,Germany,Fully Remote,Startup (1-50),Finance & Banking,AutoGen|C++|FastAPI|Git|Python|RAG|SQL|Scikit-Learn,21.1,82.7,22.8,8.6,2026,5,0,1,1,Tier 2 (80k-140k)
AIJOB1525,Generative AI Engineer,AI Engineering,Mid-Level,2.6,Bachelor's,47000,42200,51200,Bengaluru,India,On-site,Mid-Market (51-500),E-commerce,Airflow|BERT|Docker|PyTorch|REST APIs|SQL,16.6,81.1,14.2,6.5,2026,9,0,0,1,Tier 1 (<80k)
AIJOB1526,AI Solutions Architect,Architecture,Lead / Staff,9.1,Bachelor's,187500,169000,210300,Singapore,Singapore,Hybrid,Enterprise (501-5000),Technology & SaaS,AWS|C++|CUDA|Docker|GPT-4,15.7,68.4,42.2,7.4,2026,7,1,1,1,Tier 3 (140k-200k)
AIJOB1527,LLM Application Developer,AI Engineering,Director,15.8,Master's,149800,129600,161500,Manchester,United Kingdom,Fully Remote,Mid-Market (51-500),Telecommunications,AWS|Airflow|AutoGen|C++|CUDA|Docker|FastAPI|GPT-4|Git|LangChain,13.9,79.1,44.9,5.2,2025,5,1,1,1,Tier 3 (140k-200k)
AIJOB1528,Computer Vision Engineer,Computer Vision,Entry-Level,1.9,Bachelor's,46600,39800,50400,Munich,Germany,Hybrid,Mid-Market (51-500),Finance & Banking,CUDA|FastAPI|GCP|LangChain|TensorFlow,14.1,88.2,33.2,7.5,2026,9,0,1,1,Tier 1 (<80k)
AIJOB1529,AI Product Manager,Product,Lead / Staff,8.7,Bachelor's,221000,205400,259900,Austin,United States,On-site,Startup (1-50),Finance & Banking,AWS|Airflow|BERT|C++|Docker|LangChain|TensorFlow,16.1,78.2,25.2,5.9,2025,9,1,0,1,Tier 4 (>200k)
AIJOB1530,AI Agent Developer,AI Engineering,Lead / Staff,12.8,Master's,197700,183300,220200,Frankfurt,Germany,Fully Remote,Startup (1-50),Education,Airflow|AutoGen|CUDA|Docker|FastAPI|GCP|Git|RAG|Vector Databases,32.1,99,41.6,9.1,2025,12,1,1,1,Tier 3 (140k-200k)
AIJOB1531,Generative AI Engineer,AI Engineering,Mid-Level,3.9,Bachelor's,49700,43200,57800,Pune,India,Fully Remote,Big Tech (FAANG+),Telecommunications,CUDA|Docker|GCP|GPT-4|Git|PyTorch|Scikit-Learn|Vector Databases,18.4,63.3,30.5,6.1,2026,3,0,1,1,Tier 1 (<80k)
AIJOB1532,Deep Learning Specialist,AI Engineering,Mid-Level,4.3,Associate's,123500,110100,141100,Vancouver,Canada,Hybrid,Enterprise (501-5000),Education,AWS|AutoGen|C++|FastAPI|GPT-4|Git|Kubernetes|Llama|Python|Scikit-Learn,15.2,74.3,21.5,8.5,2026,8,0,1,0,Tier 2 (80k-140k)
AIJOB1533,MLOps Engineer,Machine Learning,Senior,6.8,Master's,70000,60000,76700,Hyderabad,India,Hybrid,Big Tech (FAANG+),Education,Azure|CUDA|FastAPI|GPT-4|Git|Llama|PyTorch|Scikit-Learn|Spark|TensorFlow,29,86.5,42.5,7.4,2026,9,1,1,0,Tier 1 (<80k)
AIJOB1534,Autonomous Driving Engineer,Automotive AI,Lead / Staff,12.8,Bachelor's,81900,75700,89000,Bengaluru,India,Hybrid,Startup (1-50),Healthcare,BERT|GCP|Llama|PyTorch|Scikit-Learn|TensorFlow,27.4,99,36.3,6.1,2026,9,1,1,0,Tier 2 (80k-140k)
AIJOB1535,Machine Learning Engineer,Machine Learning,Entry-Level,2.2,PhD,37400,32800,42200,Da Nang,Vietnam,Hybrid,Startup (1-50),Manufacturing,AWS|Airflow|CUDA|GCP|Llama|Python|SQL|Scikit-Learn|TensorFlow|Vector Databases,15.7,81.2,40.7,6.8,2026,2,0,1,1,Tier 1 (<80k)
AIJOB1536,Deep Learning Specialist,AI Engineering,Entry-Level,0.9,Master's,117900,104900,127000,Seattle,United States,On-site,Big Tech (FAANG+),Technology & SaaS,CUDA|GCP|Kubernetes|LangChain|Scikit-Learn|Spark,33.6,80.4,25.2,6,2026,7,0,0,1,Tier 2 (80k-140k)
AIJOB1537,Prompt Engineer,AI Engineering,Mid-Level,3.2,PhD,91200,78700,100800,Munich,Germany,Fully Remote,Big Tech (FAANG+),Healthcare,Airflow|C++|RAG|REST APIs|TensorFlow,27.5,77,30.6,7.1,2026,4,0,1,1,Tier 2 (80k-140k)
AIJOB1538,Prompt Engineer,AI Engineering,Mid-Level,3.6,Master's,98500,87900,114800,London,United Kingdom,Fully Remote,Startup (1-50),Automotive,Azure|BERT|C++|Git|Kubernetes|Llama|Python|Spark|Vector Databases,30,92.3,33.2,6.6,2026,7,0,1,1,Tier 2 (80k-140k)
AIJOB1539,AI Agent Developer,AI Engineering,Mid-Level,4,Bachelor's,115600,104200,125100,Boston,United States,Fully Remote,Startup (1-50),E-commerce,C++|Git|LangChain|Llama|Python|TensorFlow,15.8,69.4,19.9,8.9,2026,7,0,1,1,Tier 2 (80k-140k)
AIJOB1540,Generative AI Engineer,AI Engineering,Senior,5.7,Master's,144000,122800,156300,Tokyo,Japan,Hybrid,Mid-Market (51-500),Telecommunications,Docker|GCP|GPT-4|Kubernetes|RAG,18.9,87.4,19,6.9,2026,8,1,1,1,Tier 3 (140k-200k)
AIJOB1541,Machine Learning Engineer,Machine Learning,Entry-Level,0.7,Master's,89900,83000,103200,Vancouver,Canada,On-site,Enterprise (501-5000),Education,AWS|Airflow|BERT|Docker|Llama|RAG|Scikit-Learn,10.7,78.8,18.6,9.6,2025,8,0,0,0,Tier 2 (80k-140k)
AIJOB1542,Computer Vision Engineer,Computer Vision,Mid-Level,2.7,Bachelor's,74000,63300,88100,Munich,Germany,Fully Remote,Startup (1-50),Manufacturing,Azure|BERT|LangChain|TensorFlow|Vector Databases,24.6,75.4,39.5,9.5,2025,12,0,1,1,Tier 1 (<80k)
AIJOB1543,Computer Vision Engineer,Computer Vision,Senior,6.2,Bachelor's,68500,59300,75100,Hyderabad,India,Fully Remote,Enterprise (501-5000),Finance & Banking,Airflow|AutoGen|Kubernetes|Llama|REST APIs,25.8,83,33.6,7,2025,2,1,1,0,Tier 1 (<80k)
AIJOB1544,AI Agent Developer,AI Engineering,Mid-Level,3,Bachelor's,192400,166200,226000,Seattle,United States,Fully Remote,Mid-Market (51-500),Finance & Banking,AutoGen|Azure|C++|LangChain|Python|Scikit-Learn|Spark|Vector Databases,20,73.9,18,7.4,2025,10,0,1,1,Tier 3 (140k-200k)
AIJOB1545,AI Agent Developer,AI Engineering,Mid-Level,2.6,Bachelor's,50500,43800,56300,Pune,India,Fully Remote,Mid-Market (51-500),Education,AWS|Airflow|Azure|LangChain|Llama|Scikit-Learn|TensorFlow,18.1,66.1,18.6,7.7,2026,4,0,1,1,Tier 1 (<80k)
AIJOB1546,AI Research Scientist,Research,Mid-Level,5.1,Bachelor's,114100,99600,124900,Berlin,Germany,Hybrid,Startup (1-50),Finance & Banking,AWS|Airflow|BERT|C++|FastAPI|GPT-4|REST APIs,14.8,85.8,34.7,6.6,2026,4,0,1,1,Tier 2 (80k-140k)
AIJOB1547,Computer Vision Engineer,Computer Vision,Mid-Level,5.4,Associate's,152600,132600,182400,Seattle,United States,Fully Remote,Mid-Market (51-500),Manufacturing,AWS|C++|CUDA|GCP|Git|Llama|REST APIs,19.6,79.8,17.7,6.5,2026,3,0,1,0,Tier 3 (140k-200k)
AIJOB1548,Autonomous Driving Engineer,Automotive AI,Mid-Level,4.9,Bachelor's,107100,98400,118100,Boston,United States,On-site,Mid-Market (51-500),E-commerce,Airflow|Azure|C++|CUDA|GPT-4|LangChain|Python|SQL|Spark,17.7,92.9,35.4,7.1,2026,6,0,0,1,Tier 2 (80k-140k)
AIJOB1549,LLM Application Developer,AI Engineering,Senior,5.7,Bachelor's,110000,94500,123500,Singapore,Singapore,On-site,Enterprise (501-5000),Education,AutoGen|Docker|GCP|PyTorch|REST APIs|Scikit-Learn|TensorFlow,30,81.3,14.1,9.9,2026,1,1,0,1,Tier 2 (80k-140k)
AIJOB1550,Machine Learning Engineer,Machine Learning,Senior,8,PhD,62900,55600,75400,Ho Chi Minh City,Vietnam,Hybrid,Mid-Market (51-500),E-commerce,AWS|FastAPI|Kubernetes|Llama|RAG,32.5,84.6,25.8,6.6,2026,3,1,1,0,Tier 1 (<80k)
AIJOB1551,AI Research Scientist,Research,Director,14.8,Master's,231100,206000,257800,Vancouver,Canada,Fully Remote,Big Tech (FAANG+),E-commerce,Airflow|AutoGen|Azure|C++|Docker|GPT-4|Kubernetes|Python|Scikit-Learn,17.8,80.5,26.1,7.2,2026,6,1,1,1,Tier 4 (>200k)
AIJOB1552,AI Product Manager,Product,Entry-Level,2.4,Master's,30300,27400,34200,Ho Chi Minh City,Vietnam,On-site,Mid-Market (51-500),Technology & SaaS,Airflow|C++|CUDA|FastAPI|Git|Kubernetes|PyTorch|Python|Spark|TensorFlow,12.5,84.7,15.4,8,2026,9,0,0,1,Tier 1 (<80k)
AIJOB1553,Autonomous Driving Engineer,Automotive AI,Senior,7.2,Bachelor's,85900,75800,98500,Hanoi,Vietnam,Hybrid,Big Tech (FAANG+),Education,BERT|Docker|Python|RAG|SQL|Spark|TensorFlow,11.5,88.1,14,8.5,2025,3,1,1,0,Tier 2 (80k-140k)
AIJOB1554,Deep Learning Specialist,AI Engineering,Senior,6.6,Bachelor's,171100,157500,186100,Singapore,Singapore,Hybrid,Mid-Market (51-500),Education,AutoGen|C++|FastAPI|GPT-4|Scikit-Learn,23.6,74.8,47.1,7,2025,4,1,1,0,Tier 3 (140k-200k)
AIJOB1555,AI Research Scientist,Research,Entry-Level,1.4,Master's,67800,59100,80200,Toronto,Canada,Hybrid,Mid-Market (51-500),Manufacturing,Airflow|Azure|BERT|C++|GCP|Git|Kubernetes|Python|TensorFlow,15.9,80.3,21.2,5.8,2026,2,0,1,1,Tier 1 (<80k)
AIJOB1556,Deep Learning Specialist,AI Engineering,Senior,6.3,Master's,153200,132000,183800,Montreal,Canada,Fully Remote,Mid-Market (51-500),Finance & Banking,FastAPI|Llama|SQL|Spark|TensorFlow,12.1,80.6,30.2,7.6,2026,7,1,1,0,Tier 3 (140k-200k)
AIJOB1557,AI Product Manager,Product,Entry-Level,1.5,Master's,31900,27300,35700,Pune,India,Fully Remote,Startup (1-50),Education,AWS|Airflow|Azure|Docker|Python|RAG|REST APIs|Scikit-Learn,32.5,85.4,19.8,8.4,2026,1,0,1,1,Tier 1 (<80k)
AIJOB1558,AI Research Scientist,Research,Mid-Level,2.7,Bachelor's,48700,43900,56000,Hanoi,Vietnam,Fully Remote,Big Tech (FAANG+),Automotive,Azure|BERT|GCP|GPT-4|LangChain|TensorFlow,16.5,85.6,38.8,6.8,2025,9,0,1,1,Tier 1 (<80k)
AIJOB1559,Prompt Engineer,AI Engineering,Mid-Level,3.7,Associate's,102200,91700,116400,Manchester,United Kingdom,Hybrid,Big Tech (FAANG+),Telecommunications,Azure|Docker|RAG|REST APIs|SQL,33.1,84.6,32.3,7.9,2026,4,0,1,1,Tier 2 (80k-140k)
AIJOB1560,AI Agent Developer,AI Engineering,Senior,5.8,Bachelor's,143900,124200,167000,Boston,United States,Fully Remote,Mid-Market (51-500),Manufacturing,Azure|C++|Docker|Kubernetes|PyTorch|REST APIs|Scikit-Learn,11,77.5,37.8,8.3,2026,5,1,1,1,Tier 3 (140k-200k)
AIJOB1561,AI Solutions Architect,Architecture,Mid-Level,3,Bachelor's,54500,47500,63000,Bengaluru,India,Fully Remote,Mid-Market (51-500),E-commerce,AWS|Docker|FastAPI|GCP|Kubernetes|RAG|REST APIs|SQL|Scikit-Learn,28.2,79.3,25.6,7.2,2026,9,0,1,1,Tier 1 (<80k)
AIJOB1562,Data Scientist,Data Science,Senior,6.2,Associate's,144500,129800,160100,Berlin,Germany,On-site,Mid-Market (51-500),Finance & Banking,Airflow|CUDA|FastAPI|Scikit-Learn|TensorFlow,30.8,88.2,31.7,8.7,2026,8,1,0,1,Tier 3 (140k-200k)
AIJOB1563,LLM Application Developer,AI Engineering,Mid-Level,3.4,Bachelor's,135100,122500,146800,Singapore,Singapore,Hybrid,Startup (1-50),Manufacturing,Airflow|AutoGen|Azure|FastAPI|GPT-4|LangChain|REST APIs|SQL|Spark|Vector Databases,30.5,88.7,25.2,7.2,2025,1,0,1,1,Tier 2 (80k-140k)
AIJOB1564,AI Solutions Architect,Architecture,Mid-Level,3.2,Bachelor's,40400,35100,46300,Pune,India,Hybrid,Startup (1-50),Healthcare,Airflow|C++|CUDA|LangChain|Llama|RAG,20.6,73.9,13.9,7.4,2026,2,0,1,1,Tier 1 (<80k)
AIJOB1565,Computer Vision Engineer,Computer Vision,Mid-Level,3.8,Bachelor's,47700,41400,52400,Da Nang,Vietnam,Hybrid,Startup (1-50),Education,AWS|Airflow|AutoGen|C++|FastAPI|GCP|Vector Databases,14.7,77.3,13.2,7.6,2026,5,0,1,0,Tier 1 (<80k)
AIJOB1566,Generative AI Engineer,AI Engineering,Mid-Level,4.3,Bachelor's,69400,63700,78300,Da Nang,Vietnam,On-site,Mid-Market (51-500),E-commerce,AWS|AutoGen|BERT|C++|Docker|GPT-4|Python|Scikit-Learn,24.3,89.1,33.4,8.2,2025,6,0,0,1,Tier 1 (<80k)
AIJOB1567,Prompt Engineer,AI Engineering,Senior,6.4,Bachelor's,84000,77100,92400,Hanoi,Vietnam,Hybrid,Mid-Market (51-500),Telecommunications,AWS|Airflow|BERT|C++|RAG,33.7,85.2,41.4,7.1,2026,3,1,1,1,Tier 2 (80k-140k)
AIJOB1568,Machine Learning Engineer,Machine Learning,Senior,8.3,Master's,122200,106500,137800,Beijing,China,Hybrid,Startup (1-50),Healthcare,CUDA|GCP|Git|Kubernetes|Llama,26.2,81.4,16.3,8.8,2026,1,1,1,0,Tier 2 (80k-140k)
AIJOB1569,MLOps Engineer,Machine Learning,Mid-Level,5.2,Bachelor's,81900,70900,91200,Cambridge,United Kingdom,Fully Remote,Startup (1-50),Manufacturing,Azure|CUDA|Docker|LangChain|Scikit-Learn|Spark|Vector Databases,20.6,75.2,12.6,7.3,2026,8,0,1,1,Tier 2 (80k-140k)
AIJOB1570,AI Product Manager,Product,Entry-Level,2.2,Master's,66800,61500,76700,New York,United States,Hybrid,Big Tech (FAANG+),Automotive,Airflow|FastAPI|GPT-4|Kubernetes|RAG|Vector Databases,10.3,99,40.4,9.8,2025,10,0,1,1,Tier 1 (<80k)
AIJOB1571,Computer Vision Engineer,Computer Vision,Entry-Level,1.6,Bachelor's,81200,69100,93100,Singapore,Singapore,Fully Remote,Startup (1-50),Education,Llama|PyTorch|Python|REST APIs|Scikit-Learn|Spark,12.7,70.6,33.3,7.1,2026,4,0,1,0,Tier 2 (80k-140k)
AIJOB1572,AI Agent Developer,AI Engineering,Lead / Staff,12.2,Master's,150600,129900,170800,Osaka,Japan,Hybrid,Startup (1-50),Healthcare,Airflow|AutoGen|FastAPI|PyTorch|Python|Scikit-Learn|Vector Databases,19.4,80.8,21.1,7.1,2025,7,1,1,1,Tier 3 (140k-200k)
AIJOB1573,MLOps Engineer,Machine Learning,Mid-Level,2.9,Bachelor's,117800,101400,138400,Boston,United States,On-site,Startup (1-50),Finance & Banking,C++|GCP|LangChain|PyTorch|RAG|REST APIs|SQL|Spark|TensorFlow,26.9,72.3,17,8.8,2026,9,0,0,0,Tier 2 (80k-140k)
AIJOB1574,Computer Vision Engineer,Computer Vision,Lead / Staff,8.1,Bachelor's,138900,124800,164100,Hangzhou,China,Hybrid,Enterprise (501-5000),Education,AutoGen|BERT|C++|GCP|RAG|SQL|Scikit-Learn|Spark|TensorFlow,28.9,99,37.8,7.5,2026,8,1,1,1,Tier 2 (80k-140k)
AIJOB1575,Generative AI Engineer,AI Engineering,Entry-Level,1.4,PhD,57500,49500,68800,Tokyo,Japan,Fully Remote,Enterprise (501-5000),Finance & Banking,AWS|Azure|CUDA|Docker|Python|Spark,33.1,77.7,45.9,6.3,2026,7,0,1,1,Tier 1 (<80k)
AIJOB1576,LLM Application Developer,AI Engineering,Mid-Level,2.9,Bachelor's,114700,105100,124000,Austin,United States,Hybrid,Big Tech (FAANG+),Telecommunications,C++|CUDA|LangChain|PyTorch|Python|Scikit-Learn,34.9,80.6,26.1,6.4,2026,8,0,1,1,Tier 2 (80k-140k)
AIJOB1577,AI Research Scientist,Research,Entry-Level,1.8,Master's,36500,33500,43100,Da Nang,Vietnam,Hybrid,Startup (1-50),Technology & SaaS,Airflow|AutoGen|BERT|LangChain|Llama|RAG|SQL,24.5,86.5,31.4,6.8,2026,4,0,1,1,Tier 1 (<80k)
AIJOB1578,Machine Learning Engineer,Machine Learning,Mid-Level,4.8,Bachelor's,80700,73400,91900,Montreal,Canada,Hybrid,Mid-Market (51-500),Manufacturing,AWS|Airflow|Azure|C++|PyTorch|RAG|SQL|TensorFlow|Vector Databases,13.4,96.4,19.1,9,2026,7,0,1,0,Tier 2 (80k-140k)
AIJOB1579,Prompt Engineer,AI Engineering,Lead / Staff,9.7,Bachelor's,239100,210600,263200,Vancouver,Canada,Fully Remote,Mid-Market (51-500),E-commerce,CUDA|GPT-4|Llama|RAG|Scikit-Learn|TensorFlow,10.8,66.5,20.4,6.8,2026,6,1,1,1,Tier 4 (>200k)
AIJOB1580,MLOps Engineer,Machine Learning,Entry-Level,1.5,Master's,59200,51700,65700,Munich,Germany,Hybrid,Big Tech (FAANG+),Technology & SaaS,BERT|GPT-4|Git|Kubernetes|Llama|PyTorch|Python|RAG|SQL,22,68.9,46.8,5.3,2026,5,0,1,0,Tier 1 (<80k)
AIJOB1581,Generative AI Engineer,AI Engineering,Senior,7.5,Master's,170000,152700,202800,Frankfurt,Germany,Fully Remote,Mid-Market (51-500),Finance & Banking,Azure|BERT|CUDA|Git|Llama|Python|RAG|SQL|Spark,26.3,80.6,32.6,6.9,2025,1,1,1,1,Tier 3 (140k-200k)
AIJOB1582,Deep Learning Specialist,AI Engineering,Senior,8.1,Bachelor's,71600,63600,85900,Ho Chi Minh City,Vietnam,Fully Remote,Startup (1-50),Technology & SaaS,AWS|CUDA|FastAPI|GCP|Kubernetes|LangChain|Scikit-Learn,15.7,80.4,18.6,6.7,2025,12,1,1,0,Tier 1 (<80k)
AIJOB1583,AI Agent Developer,AI Engineering,Senior,6.1,Master's,179600,153900,212200,Seattle,United States,Fully Remote,Mid-Market (51-500),Finance & Banking,AutoGen|BERT|GCP|Scikit-Learn|Spark,34.2,76.8,12.4,7.7,2026,1,1,1,1,Tier 3 (140k-200k)
AIJOB1584,Generative AI Engineer,AI Engineering,Lead / Staff,8.9,Bachelor's,269500,239800,297600,Austin,United States,Hybrid,Startup (1-50),Healthcare,Docker|GCP|Git|LangChain|Llama|PyTorch|Python|Scikit-Learn,13.6,76.7,22.2,8.8,2026,5,1,1,1,Tier 4 (>200k)
AIJOB1585,AI Research Scientist,Research,Entry-Level,1.3,Bachelor's,93000,85900,102500,Manchester,United Kingdom,Fully Remote,Mid-Market (51-500),Education,AWS|Airflow|Python|REST APIs|Scikit-Learn|TensorFlow|Vector Databases,27.9,72.2,43.9,10,2025,9,0,1,1,Tier 2 (80k-140k)
AIJOB1586,LLM Application Developer,AI Engineering,Mid-Level,5.4,Bachelor's,70800,61300,80100,Munich,Germany,Fully Remote,Enterprise (501-5000),Finance & Banking,AWS|GPT-4|Kubernetes|LangChain|SQL,33.9,71.4,41.7,4.9,2025,3,0,1,1,Tier 1 (<80k)
AIJOB1587,Generative AI Engineer,AI Engineering,Entry-Level,1.4,Master's,42700,39500,46300,Da Nang,Vietnam,Fully Remote,Enterprise (501-5000),Telecommunications,Airflow|BERT|Python|RAG|REST APIs|SQL|Scikit-Learn,20,80.7,23.1,8.7,2026,4,0,1,1,Tier 1 (<80k)
AIJOB1588,Data Scientist,Data Science,Senior,7.3,Master's,174600,161100,193800,Singapore,Singapore,On-site,Enterprise (501-5000),Automotive,AutoGen|Azure|BERT|CUDA|GCP|GPT-4|Git|Llama|RAG|Scikit-Learn,33.1,87.5,14.3,6.6,2026,3,1,0,1,Tier 3 (140k-200k)
