Employee_ID,Age,Salary,Department,Experience_Years,Join_Date
49,38.0,20609307.52397126,Enginering,8.5,2017-12-19
50,17.0,14066605.188432775,HR,18.0,2015-06-27
51,38.0,18645318.22501182,Sales,10.4,2023-03-08
52,31.0,16755827.338135421,Finance,10.1,2020-02-25
53,28.0,16708301.159763131,Sales,1.2,2021-01-05
54,41.0,13643425.109658513,Engineering,18.4,2016-05-26
55,45.0,8917095.979321452,Marketing,3.5,2019-03-31
56,44.0,9392349.262874864,Marketing,10.6,2015-11-19
57,,18546762.572276585,Finance,16.1,2021-03-11
58,31.0,15097291.277594415,Engineering,4.3,2018-04-15
59,38.0,14307438.776963877,HR,10.5,2022-01-18
60,44.0,12880549.788388237,N/A,4.8,2021-12-08
61,30.0,13474055.772596242,HR,15.2,
62,33.0,20234558.972440697,Engineering,11.3,2021-06-22
63,23.0,13323779.590659866,Finance,17.1,2017-02-26
64,23.0,8294676.433492157,Engineering,17.9,2022-11-25
65,,18718258.877700865,Finance,13.0,2015-10-12
66,48.0,13975616.680676414,HR,14.5,2015-07-07
67,34.0,15156979.327663882,HR,11.0,2022-06-01
68,45.0,23037891.531997554,Engineering,7.7,2017-07-22
69,38.0,14897197.213247465,Engineering,13.0,2018-03-31
70,999.0,16445918.365593627,Marketing,18.2,2015-11-23
71,-5.0,9105382.543508373,Finance,8.3,2017-08-11
72,50.0,13901652.738245199,Marketing,6.3,2016-02-18
73,34.0,18047630.226043005,Sales,7.8,2019-04-06
74,50.0,7223131.330793789,,8.7,2018-02-12
75,8.0,16004225.465578549,Engineering,1.5,2020-02-01
76,43.0,15503955.363224031,HR,10.0,2022-02-16
77,35.0,15206437.277937196,Sales,9.9,2019-02-03
78,32.0,20185794.493291214,Sales,11.8,2016-10-28
79,35.0,16672192.574242607,Marketing,7.3,2019-02-25
80,15.0,22390359.49178222,Marketing,12.3,2018-12-26
81,32.0,10032052.42202982,Sales,17.6,2017-05-08
82,38.0,15679622.83609174,Engineering,19.1,2022-07-08
83,49.0,15422333.931949737,Marketing,11.7,2017-12-29
84,29.0,9653727.531224601,Sales,0.9,
85,26.0,19781475.01045673,HR,19.4,2022-08-31
86,29.0,26623366.529264092,Marketing,14.1,2022-04-08
87,44.0,14914969.627580846,Sales,6.7,2015-10-20
88,38.0,17525105.441368833,Finance,2.9,2021-10-31
89,29.0,15422592.379076635,,2.9,2022-02-13
90,40.0,11432076.650464121,Finance,3.4,Unknown
91,35.0,5896198.610989919,Marketing,0.9,2020-12-27
92,44.0,11471132.584523175,Marketing,18.0,2023-03-06
93,27.0,-1000000.0,Finance,10.8,2017-09-29
94,31.0,23520510.390295587,Engineering,14.0,2016-10-31
95,31.0,14424451.530383805,Sales,16.6,
96,20.0,13270403.354764147,Engineering,15.8,2019-04-04
97,37.0,19445769.12393903,Engineering,17.7,2018-01-10
98,,9391244.48572056,Sales,19.3,2022-03-06
99,35.0,11165679.809977237,HR,8.8,2022-09-19
100,32.0,15340361.346243106,Engineering,19.0,2021-03-31
101,20.0,20143844.9571174,Engineering,14.5,2017-06-18
102,30.0,17508425.22584394,Engineering,1.4,2022-09-05
103,31.0,16241625.71257941,HR,13.6,2018-08-21
104,,15390588.676180081,Marketing,13.7,2015-08-18
105,33.0,17001179.277633876,Finance,18.1,2017-07-27
106,39.0,16008264.525646273,Finance,7.5,2015-05-12
107,53.0,9850138.626115322,HR,11.7,2018-07-16
108,36.0,15230396.108165756,Engineering,0.2,2019-07-02
109,37.0,9631556.705411237,Finance,6.6,2018-01-01
110,34.0,,HR,1.2,2015-09-29
111,15.0,12596760.292558793,Sales,10.4,
112,34.0,27696908.113914307,Finance,16.3,2021-05-12
113,35.0,14800528.08124144,Sales,4.1,2023-01-19
114,59.0,-1000000.0,Engineering,10.5,2018-07-12
115,33.0,14329098.946615377,Finance,4.1,2017-05-20
116,,17596793.72818944,HR,2.4,2022-05-08
117,-5.0,23366819.730762616,Marketing,10.2,2020-08-06
118,23.0,12052738.000306409,Finance,1.6,2019-06-09
119,46.0,7087860.1298818,Finance,11.7,2022-03-18
120,42.0,19084185.057154905,Finance,0.6,2020-02-23
121,42.0,8097006.470501744,Finance,2.1,2016-08-08
122,25.0,12819222.792462574,HR,11.0,2017-12-20
123,49.0,,HR,11.8,2016-07-25
124,20.0,14651832.73349946,Marketing,0.6,2017-10-07
125,40.0,-1000000.0,HR,11.5,2021-04-18
126,56.0,11581828.588568062,HR,16.8,
127,25.0,13631353.739166196,Engineering,14.4,2017-12-12
128,29.0,14928648.235253058,Engineering,2.6,2021-07-22
129,35.0,15747989.78759394,Sales,11.8,2019-10-21
130,,15489135.873539614,Marketing,13.4,2021-07-18
131,19.0,17180028.8761129,Engineering,0.7,2019-06-24
132,35.0,,Marketing,17.1,2019-01-22
133,24.0,16963170.57825484,Marketing,18.1,2017-06-17
134,39.0,17267927.617546093,Enginering,17.0,2016-07-20
135,25.0,7088884.166267612,Marketing,16.5,2020-09-18
136,50.0,15251138.495828401,Finance,14.9,2020-07-14
137,27.0,17397537.74000804,Sales,12.7,2016-01-08
138,31.0,18644705.972852252,Sales,13.6,2015-07-12
139,,11538246.128831029,Sales,16.1,2016-03-25
140,22.0,11704803.625556774,Finance,13.2,2016-09-18
141,37.0,12129496.62358201,Finance,6.6,
142,,17682069.49945672,Sales,7.5,2016-10-17
143,18.0,20169405.274621043,Finance,17.9,2022-08-19
144,36.0,12962699.463541992,HR,-2.5,2019-09-26
145,37.0,19539811.568135247,Enginering,14.0,2021-09-08
146,42.0,15617399.04582297,Finance,19.1,2015-09-18
147,22.0,14378571.114187818,Finance,14.1,2019-04-26
148,999.0,13943078.850910155,Engineering,19.9,
149,40.0,18733056.823010787,Engineering,13.8,2021-09-06
150,37.0,16627889.08393535,Marketing,0.7,2020-04-01
151,37.0,26379127.138238188,Marketing,16.5,2020-12-07
152,38.0,10738876.78501338,Marketing,5.7,2017-10-26
153,,17590508.510149878,Sales,8.9,31/02/2020
154,37.0,12353994.950942436,HR,6.2,2015-02-17
155,37.0,10653565.065056782,Sales,5.4,2022-08-18
156,27.0,14945664.31482514,Finance,8.6,2023-01-31
157,53.0,15686762.39703518,Engineering,7.6,2016-04-14
158,39.0,29590867.77530046,Finance,12.7,
159,23.0,14079270.92158399,Finance,16.3,2021-01-08
160,41.0,9349106.352576584,Engineering,5.9,31/02/2020
161,25.0,16365053.587471928,Finance,4.3,2022-03-10
162,42.0,4626799.812268158,Marketing,13.3,2018-10-25
163,46.0,14540216.08697867,Engineering,13.4,2016-04-01
164,26.0,15080126.411475802,Finance,18.0,2018-04-17
165,44.0,18973001.914726056,Marketing,0.3,2019-11-16
166,39.0,19868111.247139234,Marketing,17.1,2016-10-09
167,43.0,12482151.905461412,HR,10.4,Unknown
168,53.0,14246929.926850336,Marketing,12.4,2015-01-14
169,32.0,11169395.846946646,Sales,1.8,2023-02-05
170,27.0,9359687.22596153,Engineering,8.7,2023-01-26
171,26.0,16549473.896903172,Engineering,4.5,2017-12-14
172,26.0,8632072.257017005,Engineering,5.1,2020-08-12
173,34.0,12926865.497140685,,10.1,2017-01-01
174,38.0,10024130.200503813,Finance,16.2,2020-09-10
175,37.0,17748415.9314513,Sales,14.9,2016-03-11
176,-5.0,24007150.49633244,Marketing,11.8,2022-01-05
177,35.0,8492060.085983343,Finance,10.8,2018-05-07
178,49.0,5734907.585512154,Marketing,8.5,2022-03-02
179,32.0,14375565.573249662,Marketing,19.5,
180,62.0,15078488.979788791,Finance,11.2,2021-10-30
181,41.0,16093296.533786489,Finance,5.1,2017-03-25
182,26.0,12768397.423828276,Sales,4.6,2016-09-18
183,24.0,13996803.50587284,HR,12.2,2019-03-12
184,39.0,16837552.05270301,Engineering,10.5,
185,32.0,,Finance,0.2,2021-01-18
186,42.0,5224756.148408586,Finance,16.6,2020-12-12
187,999.0,13155302.804842688,Marketing,14.1,2015-01-03
188,34.0,16069043.969705317,HR,13.2,31/02/2020
189,26.0,9999999999.0,Finance,1.4,2018-08-20
190,19.0,23655848.1588365,HR,7.2,2020-06-24
191,30.0,11822950.598856315,,18.7,2015-03-21
192,43.0,,Marketing,17.3,2016-04-03
193,37.0,17780110.484211452,Sales,5.7,2019-01-26
194,22.0,12043576.055990528,Engineering,3.1,Unknown
195,36.0,5767134.760977915,HR,9.0,2017-09-07
196,38.0,12856727.365417333,HR,7.1,2015-08-26
197,999.0,20147202.779635202,Engineering,13.6,31/02/2020
198,36.0,13315524.366074307,HR,19.3,2021-05-12
199,35.0,10767828.492705107,Sales,7.3,2015-11-19
200,23.0,19628361.047513608,Sales,1.2,
201,,13346125.519884737,HR,18.0,2023-03-17
202,40.0,12449195.931748914,HR,0.8,2020-06-13
203,,15747280.448316548,Sales,19.1,2015-10-11
204,45.0,,HR,13.3,2020-12-21
205,21.0,26908567.65866273,Finance,18.8,2016-05-30
206,25.0,19136180.538287114,Marketing,4.0,2016-06-09
207,40.0,20799199.831941724,Enginering,0.8,2022-05-26
208,,12470169.005060723,HR,9.8,2020-04-30
209,40.0,9870659.470152618,HR,9.0,2021-03-01
210,73.0,15311656.748095615,Enginering,6.6,2016-11-07
211,40.0,15535849.576297982,HR,19.2,2017-12-21
212,46.0,9607436.293177014,Marketing,16.5,2020-12-01
213,44.0,14123527.350479936,Sales,13.2,2021-10-20
214,41.0,16996588.008595653,Marketing,3.3,2019-09-30
215,31.0,16801966.9750904,Marketing,14.7,31/02/2020
216,42.0,17521439.266921364,Finance,14.5,2021-01-17
217,27.0,16454823.650687214,HR,8.5,2023-03-09
218,32.0,12464956.703649722,Sales,18.5,2022-09-26
219,30.0,-1000000.0,Engineering,3.3,2017-04-03
220,35.0,9005243.01003062,Marketing,5.3,2022-12-30
221,58.0,23923875.195925474,Engineering,1.3,2018-06-30
222,16.0,15067251.823096465,HR,15.9,2019-06-23
223,41.0,13875734.72102574,Marketing,12.4,2022-07-14
224,18.0,10356039.592737706,Engineering,6.3,2022-04-15
225,-5.0,29678289.51163889,Finance,3.3,2019-03-10
226,45.0,9633359.838885523,Engineering,0.8,2019-11-30
227,35.0,12855760.371969633,Finance,3.3,2020-10-20
228,24.0,17079184.181430303,Sales,9.1,2020-01-24
229,27.0,,HR,4.9,2016-05-10
230,,19789660.276078418,Engineering,5.2,2017-10-12
231,27.0,24038042.538846314,Marketing,17.5,2017-07-09
232,37.0,17530788.27730356,HR,10.3,2015-09-20
233,35.0,9719846.000166662,Engineering,14.6,2018-10-16
234,28.0,13715274.374391092,Marketing,0.7,2015-03-28
235,56.0,16539161.862569425,Marketing,7.3,2021-08-06
236,41.0,25341130.20752912,Marketing,9.6,2021-03-18
237,14.0,8010972.607878515,Marketing,3.7,2017-07-31
238,36.0,21012882.52612614,Enginering,2.4,2021-08-07
239,28.0,9999999999.0,,17.4,2017-06-21
240,43.0,19189152.676147405,Finance,18.8,2015-01-30
241,27.0,14490026.41682034,12345,1.6,2015-10-18
242,33.0,10787836.849368367,Finance,7.0,2022-12-09
243,40.0,18754363.89700666,Sales,19.2,2022-01-28
244,43.0,18272155.135528106,12345,1.7,2015-08-30
245,-5.0,19860284.82869861,Marketing,12.9,2017-07-26
246,31.0,14933476.823106823,HR,19.4,2015-10-04
247,30.0,12000889.883400753,Finance,19.6,2015-05-09
248,28.0,7206065.024880792,Finance,9.4,2018-09-15
249,52.0,19096866.34069703,Marketing,3.3,2015-10-18
250,39.0,17119447.41221993,Finance,4.0,2020-10-06
251,22.0,10171086.835680204,N/A,17.8,2017-09-01
252,44.0,12307131.633516878,Marketing,18.2,2018-02-14
253,56.0,,Marketing,12.2,2022-07-03
254,45.0,7585077.840087909,Engineering,15.3,2020-06-11
255,19.0,10911588.016974332,Engineering,14.8,2017-05-27
256,30.0,9330848.215968229,Engineering,13.2,2021-01-17
257,47.0,12937604.940560317,Engineering,16.5,2016-06-25
258,27.0,11306512.508352187,Sales,13.7,2023-02-10
259,39.0,6864975.395666257,HR,10.7,31/02/2020
260,42.0,,HR,4.7,2021-06-18
261,25.0,21262703.65514615,Marketing,14.9,2020-04-20
262,34.0,11104902.892400071,Finance,9.5,2017-09-22
263,2.0,16362106.983268049,Engineering,5.9,
264,24.0,17087325.449106473,HR,16.0,2019-07-26
265,32.0,,HR,13.9,2017-02-18
266,22.0,10906974.866699606,Engineering,18.7,2016-01-22
267,51.0,20460533.91991213,Sales,3.3,2016-02-02
268,-5.0,12260473.478965325,Sales,13.0,2022-05-23
269,30.0,8320687.979156933,HR,4.9,
270,,18620682.796572488,Sales,18.1,2018-12-22
271,49.0,21453792.12061214,Engineering,2.0,2019-10-01
272,20.0,27939544.867653422,HR,13.1,2019-08-11
273,46.0,9001373.674548931,Engineering,15.8,31/02/2020
274,,18494598.425403945,Sales,7.1,2023-03-06
275,25.0,12950993.781032335,Engineering,19.1,2015-08-10
276,,18916793.552620158,Sales,17.0,2022-07-21
277,,7647552.243843747,Sales,5.9,2022-04-30
278,28.0,8686151.121507179,Engineering,0.2,2022-03-31
279,35.0,11120625.884167582,Sales,5.9,2016-02-08
280,31.0,15394820.228340423,Marketing,5.6,2015-09-06
281,36.0,11794593.667308223,Engineering,17.8,2019-07-08
282,,18295271.719567098,Marketing,50.0,2023-03-02
283,-5.0,20134473.091289572,12345,1.4,2018-10-21
284,22.0,17997887.706226777,Sales,-2.5,2016-03-23
285,56.0,23093938.19830434,Sales,11.0,2017-10-15
286,,17079133.147276714,HR,1.9,2017-02-23
287,33.0,8915516.448299166,HR,7.5,2017-02-18
288,40.0,21816882.5676917,Marketing,50.0,2021-01-05
289,37.0,11974218.821970012,Sales,10.7,2020-01-12
290,,19552092.49842785,HR,13.2,2016-07-28
291,32.0,22868671.082775533,Sales,14.1,2019-09-25
292,30.0,17283440.053651996,Engineering,2.7,2017-01-21
293,29.0,7519205.934176751,HR,16.3,
294,43.0,10408939.167451043,Marketing,13.6,2020-03-09
295,38.0,21613722.334425677,HR,17.8,Unknown
296,28.0,14154386.571785918,,9.0,2015-11-05
297,999.0,15397867.674710829,,17.9,2019-12-21
298,38.0,18794122.080818046,Finance,17.3,2020-99-99
299,43.0,18481614.31040162,Sales,8.8,2016-02-06
300,41.0,16393999.061927304,Engineering,7.6,2015-07-27
301,26.0,13956658.143897671,HR,18.7,
302,,13436657.771338213,Finance,14.3,2021-01-23
303,42.0,19289494.126456715,Engineering,18.6,2015-03-02
304,41.0,17767847.655338965,Sales,15.9,2016-01-18
305,34.0,13713499.996911053,Engineering,12.2,2017-08-26
306,,20410561.564965703,Sales,2.3,2016-11-12
307,47.0,14354829.424351081,HR,5.8,2019-07-23
308,29.0,10741689.128328033,Engineering,19.4,31/02/2020
309,,11205146.505483277,,6.4,2020-05-25
310,32.0,10106295.81845117,Engineering,1.9,2017-05-25
311,32.0,13637949.916981565,Sales,14.2,2019-07-01
312,45.0,21168621.391680963,Sales,14.7,2015-08-29
313,43.0,-1000000.0,Engineering,5.7,2016-11-05
314,43.0,15942378.805090515,12345,6.0,2019-04-02
315,48.0,11716553.271862933,Marketing,9.4,2015-01-09
316,35.0,13698454.793642811,Marketing,0.4,2019-05-19
317,41.0,7449793.940073739,HR,15.8,2017-12-22
318,31.0,13897308.854217313,Marketing,6.3,2020-02-07
319,38.0,14031473.10097519,Marketing,17.1,2018-03-14
320,33.0,17701439.720178477,Finance,16.1,2019-09-29
321,,16116404.566276852,Finance,13.2,31/02/2020
322,40.0,9008039.375239775,Finance,6.5,2023-03-12
323,26.0,20420991.220217712,Finance,10.3,2021-03-26
324,55.0,16051515.201109977,Sales,8.9,2022-06-04
325,24.0,15991967.585887434,HR,6.8,2023-01-21
326,22.0,14954088.233074306,HR,17.0,Unknown
327,,9999999999.0,Marketing,9.7,2016-09-26
328,42.0,16089011.69874363,HR,16.7,2017-02-16
329,41.0,17377942.179642912,Marketing,2.1,2018-04-30
330,41.0,6265521.543272225,HR,2.8,Unknown
331,34.0,12306195.813269522,Engineering,19.5,2015-08-28
332,26.0,13725265.147982053,Engineering,11.8,2021-06-30
333,35.0,16280853.028471392,HR,10.2,2021-01-29
334,28.0,,Sales,10.5,
335,44.0,11141295.927016089,Marketing,4.3,2018-07-08
336,33.0,12510190.76591079,HR,14.4,2015-08-23
337,26.0,12437329.44676725,Marketing,1.7,2015-07-25
338,31.0,10992362.049477292,Finance,11.5,
339,39.0,13264067.524438687,HR,11.4,2020-05-06
340,29.0,18854011.099939857,Sales,18.3,2020-08-21
341,26.0,9730822.523178272,Finance,10.5,Unknown
342,37.0,17139071.975764517,HR,2.7,Unknown
343,37.0,6490488.849908322,Engineering,11.5,2015-08-21
344,29.0,12193310.01778897,HR,1.8,2020-09-11
345,30.0,13352553.49891007,Engineering,4.1,2015-11-25
346,37.0,23374298.364570323,Engineering,0.6,
347,20.0,13625988.47623656,HR,10.3,2015-10-08
348,20.0,3993782.6327454094,HR,1.7,2021-09-03
349,27.0,5005555.465693751,Engineering,9.4,2015-10-06
350,32.0,15170147.931733405,Marketing,18.7,2022-07-28
351,38.0,18068854.278949544,Finance,-2.5,
352,49.0,-1000000.0,Sales,1.5,2019-07-12
353,43.0,15837850.529004952,HR,4.5,2016-05-06
354,33.0,20811297.987528335,Finance,13.5,2021-05-22
355,34.0,12302043.896314342,Finance,17.9,2017-10-05
356,24.0,19474552.780134127,Marketing,0.7,2021-06-29
357,34.0,6839925.5748679135,Finance,16.2,2021-09-01
358,32.0,10475260.83530967,HR,11.2,2015-06-12
359,38.0,5964793.025340918,Finance,10.9,2021-12-11
360,,13625773.496651039,HR,19.2,2015-12-02
361,40.0,14768693.913668288,HR,15.0,2019-09-14
362,50.0,15570507.461132599,Engineering,17.0,2022-05-16
363,33.0,15309416.764435677,Marketing,7.1,2021-07-18
364,39.0,10362233.345941361,Sales,11.1,2021-05-04
365,41.0,14048795.777933922,Engineering,12.3,2020-11-11
366,30.0,7512766.656971257,Sales,6.4,2018-07-19
367,37.0,21816144.875661254,HR,11.4,2017-12-04
368,35.0,13481869.635509996,Engineering,4.7,2017-04-16
369,35.0,12555569.404781543,Finance,2.9,2022-07-06
370,27.0,22944701.642220415,Finance,7.5,2023-01-12
371,35.0,8788767.332253855,Sales,14.8,2018-07-10
372,39.0,9372064.429840155,HR,18.3,2017-09-04
373,49.0,9518898.375657175,Sales,9.2,2017-12-23
374,44.0,14660643.09150259,,12.9,2019-06-10
375,56.0,17158158.148187988,Finance,2.1,2016-06-20
376,27.0,18698377.34058917,Engineering,18.1,2022-07-14
377,43.0,27859976.587474845,Engineering,11.4,2022-03-28
378,36.0,3752837.728996182,Engineering,15.6,2018-05-13
379,56.0,18043677.945622087,Finance,15.9,2020-02-16
380,26.0,12214347.137138844,HR,5.1,2018-07-19
381,26.0,12067924.255556133,Finance,10.6,2015-10-25
382,29.0,11901139.358730612,Finance,19.2,2015-02-08
383,13.0,10456151.645960134,Engineering,1.8,
384,29.0,23422624.17301726,Finance,13.7,2021-12-19
385,27.0,19211486.63506951,Enginering,19.2,2021-04-25
386,36.0,,HR,6.0,2016-02-14
387,38.0,21755078.762435,Marketing,17.2,2015-10-28
388,53.0,7437355.173505622,Engineering,18.7,2021-01-11
389,44.0,8346474.343345369,Sales,14.9,2017-05-23
390,29.0,4110161.339026561,Marketing,4.6,2020-09-03
391,26.0,,HR,6.7,2017-12-22
392,39.0,15808492.633523764,Marketing,0.7,2016-06-26
393,21.0,15514292.88966167,Engineering,16.6,2018-11-30
394,53.0,15746709.555299403,HR,17.0,2015-10-09
395,46.0,7944715.844669591,Sales,12.7,2017-09-27
396,30.0,19015773.71307011,Engineering,7.1,2019-02-22
397,17.0,16198137.59119499,Engineering,1.5,2018-03-13
398,48.0,18665271.40732999,HR,15.1,2016-10-08
399,33.0,5536189.112049742,HR,14.5,2019-11-30
400,47.0,16557454.293988949,Marketing,18.3,2021-02-03
401,19.0,9061173.800412364,Sales,14.6,2022-11-21
402,29.0,13013383.73724319,Marketing,16.6,2018-05-24
403,35.0,17671824.493181918,Marketing,14.9,
404,35.0,15455468.031279566,,12.6,2022-05-02
405,,10742300.101103406,HR,8.5,2020-12-06
406,41.0,15031365.78092209,Engineering,18.0,2015-02-02
407,24.0,7342323.423781784,Sales,13.0,2022-06-28
408,33.0,20751336.97949148,Marketing,8.0,2021-03-21
409,36.0,13973579.902518744,Sales,1.7,2018-05-11
410,40.0,20592749.72127663,HR,5.8,2022-06-10
411,42.0,12367341.564519785,HR,10.9,2016-02-29
412,23.0,12382120.057967085,Finance,5.5,2016-07-04
413,19.0,11179066.066810768,Sales,4.4,2017-12-19
414,47.0,19380869.658465378,Engineering,10.5,2016-04-17
415,38.0,-1000000.0,Sales,3.4,2016-03-14
416,27.0,18222977.16207588,Marketing,16.0,2021-03-16
417,,13087738.011653548,HR,9.7,2016-09-28
418,,5120183.500541901,HR,11.5,2018-01-20
419,46.0,12148429.66106767,Sales,2.9,2018-02-28
420,999.0,9104458.92818576,Sales,6.5,2021-10-13
421,55.0,15169513.618411688,Sales,8.2,2017-05-12
422,52.0,9047961.32162755,Marketing,16.2,2023-01-18
423,32.0,19629875.503573082,Marketing,15.4,2018-11-05
424,44.0,9999999999.0,Engineering,4.5,2017-04-13
425,41.0,14112020.026206305,Sales,12.3,2022-09-16
426,48.0,18279460.688937914,Engineering,4.9,2022-02-10
427,25.0,19819534.67037931,Finance,19.8,2017-12-17
428,41.0,14899506.241151743,Marketing,19.0,2020-99-99
429,45.0,11143998.502253547,HR,11.3,2020-06-24
430,17.0,6130151.919439353,Finance,14.0,2017-10-25
431,23.0,11569751.2148241,HR,16.0,Unknown
432,14.0,11913938.766760193,Finance,14.4,2016-01-14
433,32.0,15535287.264961483,Engineering,14.0,2022-02-11
434,42.0,13274265.594309865,Engineering,19.2,2019-10-01
435,50.0,18439664.86025714,Marketing,11.9,2018-02-07
436,35.0,11935083.643646553,HR,-2.5,
437,51.0,14714794.165735291,Finance,17.0,2015-01-15
438,21.0,20919937.21598445,Sales,13.4,2018-09-28
439,17.0,16709126.069774833,Sales,14.7,2016-06-19
440,34.0,,Marketing,4.7,2022-02-22
441,38.0,11990277.790324114,HR,7.4,2017-12-08
442,-5.0,11833843.016425114,Sales,2.9,2016-10-23
443,14.0,10746933.735240262,Marketing,10.1,2019-12-15
444,34.0,12294965.671085503,Marketing,9.1,2021-03-09
445,21.0,18778329.193721574,HR,19.9,2022-11-30
446,41.0,-1000000.0,Sales,12.2,2019-10-18
447,38.0,8251134.653093845,Sales,15.7,2021-04-16
448,25.0,23840846.465298917,Sales,6.7,2015-02-09
449,29.0,,Engineering,16.6,2016-04-03
450,,7965282.997434153,Sales,12.3,2015-11-05
451,34.0,12790755.36379588,Finance,13.9,2022-10-01
452,44.0,15554431.914142089,Engineering,5.9,2016-09-02
453,25.0,23522960.466486886,Engineering,11.0,2021-02-12
454,40.0,9459437.708705653,Engineering,12.7,2015-05-28
455,,19880203.596779734,Engineering,11.8,2019-02-21
456,27.0,21997432.134861715,Marketing,18.3,2021-07-13
457,33.0,11856728.474627148,Finance,18.0,2021-03-13
458,24.0,13612431.905698832,HR,19.4,2016-08-29
459,29.0,9818453.76313115,Sales,13.3,2019-10-27
460,23.0,-1000000.0,Engineering,19.4,2016-06-06
461,54.0,14817050.128285345,HR,16.6,2015-06-21
462,35.0,18298249.99041185,Marketing,5.4,2018-06-16
463,28.0,20450917.355102234,HR,8.5,2019-02-02
464,37.0,11259519.676891765,Engineering,4.8,2015-06-13
465,33.0,5163374.678870028,Finance,0.1,2019-01-05
466,32.0,14893776.10361879,HR,3.8,2017-05-10
467,41.0,16467687.649843203,Engineering,0.1,
468,42.0,16247088.438425208,Engineering,14.4,
469,29.0,13366633.76245478,Sales,8.5,2022-06-24
470,29.0,15623760.498319672,Sales,6.3,2016-02-26
471,32.0,22577224.041761238,Finance,15.2,2018-12-19
472,11.0,16908670.844812546,Sales,16.6,2021-04-12
473,19.0,13133157.874984577,Finance,19.5,2019-07-23
474,48.0,,Marketing,12.8,2021-12-17
475,51.0,14150738.211611347,Marketing,9.2,2016-09-25
476,32.0,23183699.8091532,Sales,6.1,2017-08-27
477,40.0,14083496.452369014,Marketing,4.4,2016-10-27
478,38.0,14901028.277396461,HR,4.3,Unknown
479,65.0,12588432.145318486,HR,8.2,2019-08-16
480,46.0,20494916.787209824,HR,19.8,2015-04-12
481,,24799186.273723375,Marketing,0.0,2017-01-04
482,25.0,17253065.24715694,HR,3.9,2018-09-22
483,18.0,,Finance,3.8,2019-08-14
484,37.0,15183914.165871173,12345,14.3,2022-07-06
485,999.0,3078466.056071272,Sales,7.0,2017-10-13
486,20.0,18725754.321424086,Finance,9.1,2017-12-28
487,28.0,15670832.079979219,HR,3.0,2016-10-14
488,24.0,17141710.253303625,Engineering,8.1,2022-11-12
489,51.0,11442689.029581476,Sales,2.1,2016-03-18
490,,13077715.605114542,Finance,-2.5,2019-04-16
491,34.0,12944875.317484135,Sales,2.0,2015-06-08
492,49.0,20108114.920365192,Marketing,15.8,2020-04-11
