job_id,job_title,job_category,years_of_experience,education_required,city,country,remote_work,company_size,industry,demand_score,benefits_score_10,required_skills,skill_count,salary_min_usd,salary_max_usd,annual_salary_usd,salary_tier,experience_level,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,ai_salary_premium_pct
10035,Machine Learning Engineer,IT Operations,14.1,Associate's,San Francisco,Germany,Fully Remote,Big Tech (FAANG+),Tech,74.1,9.4,Azure|FastAPI|AutoGen|Java|Python|SQL|Docker|PyTorch,8,,,26400,High,Junior,2026,8,0,1,1,33.2
10036,Product Manager,Software Engineering,14,Master's,Ho Chi Minh City,China,Fully Remote,Startup,E-commerce,83.3,4.8,Azure|AWS|TensorFlow|SQL|CUDA|C++|Java,7,49300,,87600,Medium,Lead,2026,12,1,0,1,6.9
10037,Data Scientist,Software Engineering,3.1,Bachelor's,Beijing,UK,Hybrid,Enterprise,Finance,78.9,6,SQL,1,28900,17300,96400,Medium,Junior,2026,11,0,0,1,40.87
10038,Software Engineer,IT Operations,5.4,Associate's,New York,China,Fully Remote,Startup,Finance,71.9,9.2,Airflow|CUDA,2,41000,81000,102600,High,Lead,2026,11,0,0,1,3.68
10039,Software Engineer,Software Engineering,2.2,Associate's,Singapore,USA,On-site,Startup,Finance,77,3.9,Azure|PyTorch,2,59600,102400,76800,Medium,,2026,12,1,1,1,5.67
10040,Product Manager,Product Management,7.6,High School,Ho Chi Minh City,Singapore,On-site,Startup,Tech,55.4,8.2,AutoGen|CUDA|PyTorch|BERT|Docker|Azure|AWS|SQL,8,52100,106100,66500,Low,Junior,2026,12,1,1,1,31.82
10041,DevOps Engineer,Data Science,6.9,Associate's,New York,UK,Fully Remote,Startup,Finance,84.8,9.9,AWS|Airflow|SQL|FastAPI|TensorFlow|PyTorch|Azure|AutoGen|Java,9,22600,137200,62600,Medium,Lead,2026,12,1,0,1,10.21
10042,DevOps Engineer,Software Engineering,13.5,PhD,Berlin,Vietnam,Hybrid,Enterprise,Finance,86.7,6.9,TensorFlow|CUDA|Airflow|AutoGen,4,36200,135000,97600,Top,Mid,2026,3,1,1,0,11.45
10043,Product Manager,Software Engineering,14,Bachelor's,San Francisco,Germany,On-site,Big Tech (FAANG+),Healthcare,50.6,9.9,BERT|React|TensorFlow|Docker|PyTorch|CUDA|FastAPI,7,73000,108800,85500,Low,,2026,4,1,0,0,43.82
10044,DevOps Engineer,IT Operations,5.8,Bachelor's,New York,China,On-site,Startup,Healthcare,63.5,5.6,AutoGen|Azure|BERT|TensorFlow|Airflow|Python|FastAPI|SQL,8,81800,,59100,High,Senior,2026,8,0,0,0,18.21
10045,Machine Learning Engineer,Product Management,7.4,Bachelor's,London,Singapore,Fully Remote,Startup,Healthcare,54.6,2.4,Airflow,1,77300,97700,82100,High,Mid,2026,5,1,1,1,46.06
10046,Software Engineer,Data Science,13.4,Associate's,London,Singapore,Fully Remote,Mid-size,Healthcare,99.9,2.6,PyTorch|TensorFlow|FastAPI|AutoGen|Airflow|React|AWS|Java|SQL,9,23000,69800,93100,Medium,Mid,2026,5,0,1,1,5.43
10047,Product Manager,IT Operations,12.1,Associate's,Beijing,Singapore,On-site,Enterprise,Finance,79.7,7.6,CUDA|AWS|Python|Azure,4,43000,137500,93600,Top,Lead,2026,8,0,1,0,46.58
10048,Software Engineer,IT Operations,0.1,Bachelor's,Beijing,Vietnam,Fully Remote,Startup,Healthcare,73.3,1,Python,1,35400,93600,75000,Low,Mid,2026,8,0,1,1,45.74
10049,AI Agent Developer,Product Management,4.8,Master's,New York,Germany,Fully Remote,Mid-size,Automotive,73.2,7,,0,63300,110600,106100,Medium,Junior,2026,6,1,0,0,26.99
10050,Machine Learning Engineer,Data Science,6.3,Master's,Ho Chi Minh City,Vietnam,On-site,Startup,E-commerce,98.2,2.4,FastAPI|C++|BERT|Azure|SQL|TensorFlow|Java|React|PyTorch|AWS,10,44100,203400,55300,Low,Lead,2026,9,0,1,1,37.92
10051,Data Analyst,Product Management,3.4,PhD,Ho Chi Minh City,UK,Hybrid,Enterprise,Healthcare,83,9.9,Docker|C++|React|AWS|Airflow,5,29700,136500,76200,High,,2026,4,1,1,1,21.86
10052,Machine Learning Engineer,Data Science,3,High School,Berlin,China,Hybrid,Mid-size,Tech,58.4,2.5,AWS|PyTorch|FastAPI|Azure|React|BERT|AutoGen|C++|Airflow|TensorFlow,10,79600,91800,98300,High,Mid,2026,10,0,0,0,38.28
10053,Product Manager,Product Management,0.6,PhD,Ho Chi Minh City,USA,On-site,Mid-size,E-commerce,72.4,6,Docker|TensorFlow|FastAPI,3,38400,39100,82800,Top,Senior,2026,1,1,1,1,12.15
10054,Data Analyst,IT Operations,9.7,Bachelor's,Beijing,Japan,Fully Remote,Enterprise,Education,88.7,7,React|SQL|FastAPI|Airflow|TensorFlow|PyTorch|BERT|AWS|Docker|AutoGen,10,70200,144400,77100,High,Junior,2026,10,1,1,0,45.16
10055,AI Agent Developer,IT Operations,3.9,Bachelor's,Ho Chi Minh City,Singapore,On-site,Mid-size,Education,71.2,8.4,Java|FastAPI,2,37800,-16900,56400,Top,Mid,2026,2,0,1,0,39.42
10056,Product Manager,AI Engineering,0.8,Bachelor's,Berlin,Vietnam,On-site,Mid-size,Automotive,65.5,5.1,Python|Azure|Java|C++|TensorFlow,5,65700,83100,42800,High,Mid,2026,1,0,1,1,36.63
10057,Data Scientist,Software Engineering,3.5,High School,London,Japan,Fully Remote,Startup,E-commerce,99.6,9.4,FastAPI|Docker|BERT|Airflow|AWS,5,43500,24800,57900,Low,Lead,2026,4,0,0,0,40.24
10058,Software Engineer,Product Management,12,Associate's,Ho Chi Minh City,China,Hybrid,Mid-size,E-commerce,96.8,5.3,Airflow|PyTorch|C++|AutoGen|SQL,5,29200,80500,104300,Low,Senior,2026,9,1,0,1,17.24
10059,AI Agent Developer,AI Engineering,12.8,High School,Ho Chi Minh City,UK,Hybrid,Big Tech (FAANG+),Automotive,97.1,3.3,Java|Docker|FastAPI,3,73000,80000,58700,Medium,,2026,11,1,0,1,9.5
10060,Software Engineer,Software Engineering,7.2,PhD,Beijing,Vietnam,Fully Remote,Enterprise,Education,56.6,6.3,Airflow|AWS|TensorFlow|Java|AutoGen|FastAPI|PyTorch|C++|BERT,9,35900,105900,75000,Medium,Senior,2026,6,1,0,0,17.74
10061,DevOps Engineer,Product Management,6.2,Associate's,New York,UK,On-site,Startup,Healthcare,61.7,6.9,AutoGen|Airflow|BERT|C++|TensorFlow|Java|Azure,7,52200,91700,124700,Medium,Lead,2026,6,1,1,0,1.94
10062,Data Scientist,Data Science,14.7,Associate's,London,USA,Fully Remote,Mid-size,Automotive,72.1,5.6,C++|React,2,24000,137900,100700,Medium,Senior,2026,6,1,0,1,13.51
10063,Data Scientist,Software Engineering,3,PhD,San Francisco,Singapore,On-site,Big Tech (FAANG+),Tech,91.6,7.6,Python|Java|AutoGen|Azure|React|SQL|CUDA,7,22400,125600,71200,Medium,Lead,2026,1,0,1,1,30.37
10064,AI Agent Developer,IT Operations,3.2,Associate's,New York,USA,Fully Remote,Startup,Automotive,86.8,4.8,,0,80800,133600,68900,Medium,Mid,2026,1,0,1,0,42.33
10065,Data Scientist,AI Engineering,4.4,Master's,San Francisco,Singapore,Fully Remote,Enterprise,Finance,92.5,1,React|CUDA|PyTorch|SQL|Azure|BERT,6,52800,43600,111000,Top,Mid,2026,3,1,1,1,46.52
10066,Data Analyst,Software Engineering,2.6,PhD,Berlin,Germany,Hybrid,Mid-size,Education,96,3.4,CUDA|TensorFlow,2,47900,94700,66400,Top,Senior,2026,5,0,0,0,36.11
10067,Data Scientist,Software Engineering,5.7,PhD,Berlin,Germany,Hybrid,Enterprise,Finance,89,9.5,,0,41500,125100,75200,High,,2026,2,0,1,1,44.59
10068,Software Engineer,IT Operations,13.7,Master's,New York,Germany,Fully Remote,Enterprise,Education,63.1,7.9,TensorFlow|Docker|C++|BERT,4,34400,,70300,Top,Senior,2026,11,1,0,0,14.57
10069,Software Engineer,Product Management,9.2,High School,Beijing,UK,Fully Remote,Mid-size,Education,64.3,2.7,Azure|Airflow|SQL|PyTorch,4,61700,76500,116000,Low,Lead,2026,12,1,1,0,33.89
10070,Product Manager,Data Science,6.2,High School,Tokyo,Germany,Hybrid,Mid-size,E-commerce,67.6,1.6,TensorFlow|AWS|React|BERT|C++,5,78400,69800,74800,Top,Senior,2026,1,1,0,1,48.84
10071,Software Engineer,IT Operations,14,High School,San Francisco,China,On-site,Startup,Healthcare,65.2,4.2,SQL|TensorFlow|FastAPI|C++|Airflow|AWS|BERT,7,66400,174000,66900,Medium,Junior,2026,9,0,0,0,30.54
10072,Product Manager,Data Science,0.7,Associate's,Beijing,Japan,Hybrid,Enterprise,Healthcare,62.5,8.5,Airflow|AWS|Python|CUDA|C++,5,62200,118800,92400,Top,Mid,2026,11,1,0,1,21.39
10073,Software Engineer,Product Management,3.2,Master's,Tokyo,Japan,On-site,Mid-size,Education,87.6,2,CUDA|Python|FastAPI|AWS|PyTorch|TensorFlow,6,43700,15700,123700,Low,Senior,2026,1,1,0,1,13.13
10074,Data Analyst,Software Engineering,8.5,PhD,Tokyo,UK,Hybrid,Enterprise,Education,51.7,5.9,Java,1,62700,,44500,High,Junior,2026,11,0,1,0,15.74
10075,Product Manager,Data Science,9.2,PhD,Beijing,UK,Hybrid,Mid-size,Finance,86.4,3.5,PyTorch|React|FastAPI|SQL|Java|Azure|C++|CUDA|Airflow,9,89000,16200,83600,Top,Mid,2026,11,1,0,0,10.12
10076,Machine Learning Engineer,AI Engineering,0.6,PhD,Tokyo,Germany,On-site,Enterprise,Tech,91.2,7.5,Python|C++|SQL|AWS|BERT|FastAPI,6,44700,44300,54300,Low,Junior,2026,11,0,0,1,35.14
10077,DevOps Engineer,AI Engineering,6,Associate's,Tokyo,Singapore,Fully Remote,Startup,Automotive,53.3,1,C++|CUDA|Java|BERT|FastAPI|AutoGen|Azure,7,,52900,110900,Top,Lead,2026,4,1,0,0,36.2
10078,AI Agent Developer,IT Operations,9.7,Associate's,Tokyo,Japan,Hybrid,Enterprise,Education,53.1,3.5,SQL|Java|AutoGen|Python|TensorFlow|BERT|CUDA,7,77200,148700,47100,High,Lead,2026,9,1,1,0,38.98
10079,Software Engineer,Product Management,10.5,High School,London,Japan,Hybrid,Mid-size,Education,64.3,7.1,BERT,1,89000,121300,95300,Top,Lead,2026,10,1,1,1,23.37
10080,Data Scientist,IT Operations,9.6,Associate's,Berlin,Germany,Hybrid,Big Tech (FAANG+),Automotive,60.4,5.9,React|Python|TensorFlow|SQL|C++|Docker|PyTorch,7,52800,66000,56600,Low,Senior,2026,2,1,0,0,6.91
10081,Software Engineer,IT Operations,4.8,High School,Tokyo,UK,Fully Remote,Startup,Automotive,79.1,8,FastAPI|Docker|React|Java,4,67000,68300,116100,High,Junior,2026,10,1,0,1,21.1
10082,Data Scientist,IT Operations,1.4,High School,Berlin,USA,Hybrid,Startup,Tech,83.8,2.4,BERT|FastAPI,2,44900,75800,135400,High,Junior,2026,3,1,1,0,37.43
10083,DevOps Engineer,AI Engineering,6.4,PhD,Singapore,Singapore,Fully Remote,Big Tech (FAANG+),Tech,81.7,5.8,C++|AWS|React|Azure|SQL|BERT|Java|FastAPI|TensorFlow|Airflow,10,56500,64200,105800,High,Lead,2026,4,1,1,0,42.79
10084,DevOps Engineer,AI Engineering,1.9,Associate's,Berlin,USA,Hybrid,Mid-size,Automotive,67.9,2.8,,0,45100,,73900,High,Senior,2026,12,0,0,0,4.06
10085,DevOps Engineer,IT Operations,14.2,High School,Singapore,Germany,On-site,Startup,Education,74.9,6.8,TensorFlow|React|AWS|Docker|CUDA|Python|Azure|SQL|FastAPI|Java,10,73500,66600,44900,Medium,Lead,2026,2,0,1,1,12.19
10086,Data Scientist,AI Engineering,7.1,Master's,London,USA,Hybrid,Big Tech (FAANG+),Education,82,2.2,PyTorch,1,83500,90300,79800,Medium,Senior,2026,2,0,1,0,48.1
10087,Software Engineer,Product Management,4.8,Master's,Berlin,China,Hybrid,Big Tech (FAANG+),Automotive,56,2.3,React|CUDA,2,25900,47400,81500,Top,Mid,2026,12,1,0,0,21.6
10088,DevOps Engineer,IT Operations,11.5,Associate's,New York,China,Fully Remote,Enterprise,Education,61.5,4,Docker|Airflow|FastAPI|Azure|AWS|PyTorch|AutoGen|Python|C++,9,47900,97300,133200,Top,Junior,2026,6,0,0,1,3.53
10089,Data Analyst,AI Engineering,7.5,PhD,Ho Chi Minh City,China,Fully Remote,Enterprise,Tech,94.5,4.6,Python|C++|React|Docker|PyTorch|FastAPI|CUDA|Java|AWS,9,39200,,78300,High,Senior,2026,11,0,1,1,10.19
10090,Product Manager,Data Science,4.7,PhD,London,UK,Fully Remote,Mid-size,Automotive,67.1,5.5,Docker|BERT|React|Azure|SQL|TensorFlow|FastAPI|PyTorch,8,43600,58700,57200,Low,Lead,2026,11,0,0,1,41.38
10091,Data Scientist,IT Operations,12.2,High School,Ho Chi Minh City,UK,On-site,Big Tech (FAANG+),Tech,90.1,6.2,Docker|AWS|Java|BERT|Azure,5,45200,71600,80100,Low,Senior,2026,10,0,0,0,37.97
10092,Data Scientist,IT Operations,13,Associate's,New York,UK,On-site,Enterprise,Education,62.5,5.2,PyTorch|FastAPI|AWS|AutoGen|Java|Azure,6,32600,92400,65400,Medium,Senior,2026,5,0,1,1,10.87
10093,Software Engineer,Product Management,10.1,Master's,Beijing,UK,Fully Remote,Mid-size,Education,52.1,1.4,Java|Azure|AWS,3,55600,134600,72600,Low,Mid,2026,11,1,1,1,5.08
10094,Data Scientist,Software Engineering,0.7,High School,Beijing,UK,On-site,Startup,E-commerce,75,4.1,FastAPI|Docker|CUDA|Airflow|Azure|React,6,26700,145500,129100,High,Lead,2026,5,0,1,1,3.97
10095,Data Scientist,Software Engineering,8.5,High School,Tokyo,Germany,Fully Remote,Enterprise,Finance,94.6,1.6,Java|Airflow|React|Python|CUDA|Docker|TensorFlow|C++|AutoGen|Azure,10,67700,95900,53800,Top,Junior,2026,9,0,0,0,24.98
10096,DevOps Engineer,Product Management,11.4,Bachelor's,San Francisco,USA,On-site,Mid-size,Finance,91,2.1,FastAPI|Java|TensorFlow|PyTorch|Python|Azure|Docker,7,55900,111300,99000,Top,Senior,2026,7,0,0,1,34.78
10097,Software Engineer,Product Management,2,Associate's,Beijing,Germany,Fully Remote,Enterprise,Tech,62.6,1.8,Docker|Airflow|CUDA|C++|SQL|React|AutoGen,7,,94200,67100,High,Lead,2026,11,1,1,1,16.19
10098,DevOps Engineer,Product Management,3.4,High School,London,USA,Fully Remote,Startup,Automotive,95.5,2.4,Python|FastAPI|Airflow,3,27700,148700,74100,Low,Junior,2026,9,1,1,1,4.31
10099,Product Manager,Software Engineering,13.2,Master's,Beijing,Germany,On-site,Startup,Finance,74,8.3,Python|SQL|Airflow|AWS|TensorFlow|CUDA|AutoGen|Docker|Java|React,10,65600,166700,74700,Medium,Senior,2026,1,0,0,1,24.6
10100,Product Manager,Product Management,0.3,Bachelor's,London,China,Hybrid,Enterprise,Education,52.4,6.6,Azure|Docker|C++|React|CUDA|BERT,6,35900,132500,50800,Medium,Senior,2026,2,1,0,0,10.95
10101,DevOps Engineer,AI Engineering,11.3,Master's,London,Vietnam,Fully Remote,Startup,Healthcare,51.4,5.6,BERT|TensorFlow|AWS|Docker|Airflow|FastAPI|SQL,7,80900,117400,89700,Top,Lead,2026,5,1,1,1,9.05
10102,Product Manager,IT Operations,7.1,PhD,Ho Chi Minh City,UK,Fully Remote,Mid-size,Automotive,74.3,7.6,Azure|SQL|AWS|TensorFlow|Airflow|Java,6,7500,117700,18600,Low,Junior,2026,10,0,1,1,38.73
10103,Software Engineer,IT Operations,6.7,Bachelor's,Beijing,Vietnam,Hybrid,Enterprise,Tech,77.3,9.7,TensorFlow|Airflow|Python|AutoGen,4,29000,105300,67500,Medium,Junior,2026,7,1,0,0,30.22
10104,AI Agent Developer,Data Science,0.1,Bachelor's,Berlin,Vietnam,Fully Remote,Enterprise,Education,54,4.8,SQL|AWS|Python|Azure|Docker|BERT|C++|AutoGen,8,42300,69500,82400,Low,Mid,2026,8,0,0,1,15.75
10105,DevOps Engineer,Data Science,12.3,High School,Singapore,China,Fully Remote,Startup,Education,96.1,4.3,React|TensorFlow,2,49400,78700,89400,Low,Mid,2026,7,1,1,1,23.03
10106,Data Analyst,IT Operations,5.4,PhD,Beijing,Vietnam,On-site,Mid-size,Healthcare,85.9,9.8,AWS|Python|Airflow|BERT|TensorFlow,5,63300,110100,88300,Medium,Lead,2026,9,1,0,1,11.2
10107,Data Analyst,AI Engineering,8.1,High School,Beijing,Vietnam,Hybrid,Enterprise,Tech,90.1,7.9,CUDA|Java|Azure|AWS|Python|React|TensorFlow,7,46000,79700,46800,Top,Junior,2026,11,1,1,1,28.08
10108,Data Scientist,Software Engineering,10.2,Associate's,Beijing,China,Fully Remote,Enterprise,Automotive,79.2,8,TensorFlow|SQL|Python|AWS|React,5,43600,45900,64600,Low,Senior,2026,3,0,0,1,37.85
10109,Product Manager,Software Engineering,10.5,Master's,Tokyo,USA,Fully Remote,Startup,Education,83.2,6.4,FastAPI|CUDA|SQL|C++|AWS|PyTorch,6,36500,,78500,Medium,Lead,2026,11,1,0,0,21.42
10110,Data Analyst,AI Engineering,14.3,Master's,Berlin,Germany,Hybrid,Startup,E-commerce,69.4,5.6,TensorFlow,1,34200,35700,56200,High,Mid,2026,5,1,1,1,19.19
10111,Data Scientist,Software Engineering,8,High School,Berlin,Japan,Hybrid,Mid-size,Education,84,6,AWS|CUDA|C++|SQL|Docker|AutoGen|TensorFlow|Python,8,35700,176100,79400,High,Lead,2026,12,1,0,1,12.59
10112,AI Agent Developer,Product Management,6,Master's,London,Vietnam,On-site,Mid-size,E-commerce,98.9,6.9,Python|React|FastAPI|Docker|Java,5,48400,77300,88500,Top,Junior,2026,6,1,1,0,16.17
10113,Software Engineer,IT Operations,14.3,Master's,Berlin,UK,On-site,Startup,E-commerce,82.4,4.4,BERT|C++|Azure|AWS|PyTorch|Docker|React|Python|SQL|CUDA,10,13100,98900,61500,Medium,Lead,2026,10,1,1,0,18
10114,Software Engineer,IT Operations,9.6,Associate's,London,China,On-site,Mid-size,Automotive,67.1,8,Airflow|Docker|C++|AutoGen|TensorFlow|Azure,6,60700,147700,91100,Low,Mid,2026,7,0,0,0,15.64
10115,Software Engineer,AI Engineering,4.5,PhD,Singapore,Singapore,Fully Remote,Big Tech (FAANG+),Automotive,64.3,9.2,C++|BERT|Python|Java|TensorFlow,5,51400,198500,68600,High,Junior,2026,12,1,1,1,4.52
10116,Data Analyst,Software Engineering,1.9,Bachelor's,Ho Chi Minh City,Singapore,Hybrid,Big Tech (FAANG+),Healthcare,98.2,6.1,Azure|AWS|PyTorch|Java|CUDA|Docker|FastAPI|React|C++,9,47700,92300,54600,Low,Senior,2026,7,1,0,1,7.39
10117,AI Agent Developer,Data Science,12.6,High School,London,Vietnam,On-site,Startup,Education,59.3,4.4,Docker|React|Airflow|AWS|BERT|Azure|CUDA|Python,8,72800,68200,108000,High,Mid,2026,4,0,1,0,49.81
10118,Data Analyst,Data Science,5.4,High School,Beijing,Japan,Hybrid,Enterprise,Automotive,90.3,7.3,C++|Docker|FastAPI|React|PyTorch|CUDA|Java|SQL|AutoGen|TensorFlow,10,61900,125800,62900,Medium,Mid,2026,1,0,1,1,18.15
10119,Product Manager,Software Engineering,9.9,Associate's,New York,USA,Fully Remote,Startup,Automotive,73.3,2.6,BERT|Azure|AWS|Java|TensorFlow,5,52600,98300,39100,Low,Mid,2026,8,0,1,0,40.27
